customerName;productName;productLine;orderDate;orderDay;orderMonth;orderYear;orderQuarter;dollar_sales
Vitachrome Inc.;1937 Lincoln Berline;Vintage Cars;2003-01-10 00:00:00;10;1;2003;1;3726.45
Vitachrome Inc.;1936 Mercedes-Benz 500K Special Roadster;Vintage Cars;2003-01-10 00:00:00;10;1;2003;1;1768.3300000000002
Baane Mini Imports;1952 Alpine Renault 1300;Classic Cars;2003-01-29 00:00:00;29;1;2003;1;5571.8
Baane Mini Imports;1962 LanciaA Delta 16V;Classic Cars;2003-01-29 00:00:00;29;1;2003;1;5026.14
Baane Mini Imports;1958 Setra Bus;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3284.28
Baane Mini Imports;1940 Ford Pickup Truck;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3307.5
Baane Mini Imports;1926 Ford Fire Engine;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;1283.48
Baane Mini Imports;1913 Ford Model T Speedster;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2489.13
Baane Mini Imports;1934 Ford V8 Coupe;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2164.4
Baane Mini Imports;18th Century Vintage Horse Carriage;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2173
Baane Mini Imports;1917 Maxwell Touring Car;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;3970.26
Baane Mini Imports;1940s Ford truck;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3530.5199999999995
Baane Mini Imports;1939 Cadillac Limousine;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;1670.75
Baane Mini Imports;1962 Volkswagen Microbus;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3864.2400000000002
Baane Mini Imports;1936 Chrysler Airflow;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2215.5
Baane Mini Imports;1980Ã¢â‚¬â„¢s GM Manhattan Express;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;2866.2599999999998
Baane Mini Imports;1996 Peterbilt 379 Stake Bed with Outrigger;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;2850.75
Baane Mini Imports;1982 Camaro Z28;Classic Cars;2003-01-29 00:00:00;29;1;2003;1;3950.9399999999996
Euro+ Shopping Channel;1969 Corvair Monza;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;4468.96
Euro+ Shopping Channel;1957 Chevy Pickup;Trucks and Buses;2003-01-31 00:00:00;31;1;2003;1;4566.99
Euro+ Shopping Channel;1998 Chrysler Plymouth Prowler;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;3261.6000000000004
Euro+ Shopping Channel;1964 Mercedes Tour Bus;Trucks and Buses;2003-01-31 00:00:00;31;1;2003;1;3559.17
Euro+ Shopping Channel;1992 Ferrari 360 Spider red;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;3816.85
Euro+ Shopping Channel;1970 Triumph Spitfire;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;4529.6
Euro+ Shopping Channel;1970 Dodge Coronet;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;1820.7
Euro+ Shopping Channel;1958 Chevy Corvette Limited Edition;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;1338.04
